epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,102.44,0.44949,0.46868,0.87559,0.95479,0.95912,0.995,0.84121,0.71522,0.40041,1.03391,0.000170675,0.000170675,0.000170675
103,103.457,0.48848,0.49678,0.87973,0.9621,0.95664,0.995,0.84949,0.69448,0.40216,1.02896,0.00016983,0.00016983,0.00016983
104,104.477,0.50146,0.53566,0.89606,0.95719,0.96806,0.995,0.84747,0.70341,0.3942,1.05876,0.000168986,0.000168986,0.000168986
105,105.565,0.46966,0.50479,0.87395,0.95651,0.98476,0.995,0.80443,0.77902,0.40089,1.14153,0.000168141,0.000168141,0.000168141
106,106.692,0.46246,0.50956,0.87133,0.94655,0.9625,0.98574,0.79113,0.82195,0.41411,1.17145,0.000167296,0.000167296,0.000167296
107,107.697,0.4735,0.50252,0.86966,0.95866,0.98589,0.995,0.80371,0.80229,0.4073,1.12935,0.000166451,0.000166451,0.000166451
108,108.667,0.46592,0.4968,0.89419,0.95934,0.98052,0.995,0.85889,0.66515,0.38281,0.9925,0.000165606,0.000165606,0.000165606
109,109.708,0.46296,0.51696,0.86346,0.95517,0.96187,0.98574,0.86375,0.62715,0.38435,0.9533,0.000164762,0.000164762,0.000164762
110,110.761,0.44162,0.49435,0.86898,0.95776,0.95483,0.98574,0.83433,0.63568,0.38366,0.95771,0.000163917,0.000163917,0.000163917
111,111.808,0.45235,0.47029,0.85015,0.94678,0.98362,0.995,0.83804,0.66575,0.3824,0.99016,0.000163072,0.000163072,0.000163072
112,112.748,0.44854,0.47405,0.87377,0.95134,0.97601,0.995,0.84174,0.67764,0.38302,1.01868,0.000162227,0.000162227,0.000162227
113,113.696,0.43191,0.46368,0.88948,0.96528,0.97586,0.995,0.84217,0.68297,0.37693,1.02775,0.000161382,0.000161382,0.000161382
114,114.66,0.4403,0.45185,0.85822,0.9487,0.98031,0.995,0.83406,0.68842,0.38672,1.03064,0.000160538,0.000160538,0.000160538
115,115.735,0.43606,0.47198,0.86827,0.95187,0.98408,0.995,0.83591,0.70419,0.39832,1.04535,0.000159693,0.000159693,0.000159693
116,116.671,0.45286,0.47962,0.85943,0.93466,0.98552,0.995,0.83139,0.7303,0.40008,1.08299,0.000158848,0.000158848,0.000158848
117,117.624,0.46573,0.50164,0.88176,0.92016,0.98045,0.995,0.82966,0.73289,0.3978,1.0995,0.000158003,0.000158003,0.000158003
118,118.579,0.44377,0.48011,0.87501,0.90666,0.98069,0.995,0.83261,0.69382,0.40216,1.05583,0.000157158,0.000157158,0.000157158
119,119.598,0.4655,0.51046,0.87718,0.90578,0.97972,0.995,0.83008,0.6761,0.4066,1.03234,0.000156314,0.000156314,0.000156314
120,120.602,0.45608,0.48731,0.86298,0.90644,0.9746,0.995,0.82492,0.68299,0.41149,1.03748,0.000155469,0.000155469,0.000155469
121,121.601,0.46345,0.50021,0.85659,0.90669,0.9729,0.995,0.8268,0.72346,0.40578,1.07149,0.000154624,0.000154624,0.000154624
122,122.619,0.45712,0.52579,0.87141,0.91644,0.96887,0.98574,0.81324,0.7394,0.39538,1.08862,0.000153779,0.000153779,0.000153779
123,123.608,0.43964,0.4424,0.85055,0.9324,0.96485,0.98574,0.82301,0.71849,0.39628,1.08104,0.000152934,0.000152934,0.000152934
124,124.661,0.44334,0.49521,0.86284,0.93481,0.9629,0.98574,0.82233,0.70864,0.38625,1.07801,0.00015209,0.00015209,0.00015209
125,125.617,0.448,0.47816,0.87051,0.93516,0.96109,0.98574,0.82251,0.72442,0.38817,1.08856,0.000151245,0.000151245,0.000151245
126,126.631,0.4473,0.4794,0.85674,0.923,0.97086,0.98574,0.82677,0.72145,0.39905,1.07139,0.0001504,0.0001504,0.0001504
127,127.633,0.44479,0.48592,0.85783,0.89262,0.98191,0.98574,0.83195,0.72856,0.39232,1.06147,0.000149555,0.000149555,0.000149555
128,128.632,0.42639,0.45867,0.85303,0.88716,0.98971,0.995,0.83908,0.7131,0.38515,1.03445,0.00014871,0.00014871,0.00014871
129,129.62,0.45832,0.47357,0.86283,0.90855,0.98697,0.995,0.83763,0.71628,0.38599,1.03666,0.000147866,0.000147866,0.000147866
130,130.602,0.43772,0.45302,0.86122,0.92394,0.98372,0.995,0.84902,0.69069,0.3798,1.0251,0.000147021,0.000147021,0.000147021
131,131.583,0.43001,0.49309,0.85563,0.92442,0.98208,0.995,0.84656,0.67867,0.37315,1.02729,0.000146176,0.000146176,0.000146176
132,132.502,0.44028,0.46813,0.86164,0.92676,0.97939,0.995,0.84619,0.70801,0.37988,1.05783,0.000145331,0.000145331,0.000145331
133,133.447,0.43007,0.44918,0.88818,0.91771,0.97952,0.995,0.84218,0.69837,0.3792,1.05596,0.000144486,0.000144486,0.000144486
134,134.405,0.4227,0.4413,0.8529,0.90504,0.98194,0.995,0.84572,0.67944,0.37095,1.04084,0.000143642,0.000143642,0.000143642
135,135.357,0.4142,0.4755,0.86448,0.91637,0.97469,0.995,0.84679,0.68407,0.37164,1.04053,0.000142797,0.000142797,0.000142797
136,136.337,0.42449,0.49462,0.85187,0.94327,0.97371,0.995,0.83838,0.68226,0.36497,1.04008,0.000141952,0.000141952,0.000141952
137,137.254,0.40555,0.42894,0.85815,0.94186,0.97705,0.995,0.84838,0.66567,0.36249,1.02501,0.000141107,0.000141107,0.000141107
138,138.171,0.39314,0.44294,0.86028,0.9532,0.97233,0.995,0.85247,0.65134,0.35762,1.01073,0.000140262,0.000140262,0.000140262
139,139.137,0.44484,0.46339,0.89422,0.96173,0.9697,0.995,0.847,0.67015,0.3582,1.02267,0.000139418,0.000139418,0.000139418
140,140.025,0.40689,0.43166,0.85042,0.9631,0.96382,0.995,0.84159,0.70624,0.36778,1.0393,0.000138573,0.000138573,0.000138573
